song,artist,year,genre,numUnique,totalWords,love_words,god_words,dance_words,cool_words,rock_words,swear_words,cw1,cwc1,cw2,cwc2,cw3,cwc3,cw4,cwc4,cw5,cwc5
Respect,Aretha Franklin,1967,r&b,88,384,0,0,0,0,0,0,little,27,bit,22,home,9,sock,8,respect,7
Be My Baby,The Ronettes,1963,r&b,68,287,1,0,0,0,0,0,baby,29,oh,24,say,4,little,4,whoa,4
What's Going On,Marvin Gaye,1971,r&b,111,469,3,0,0,0,0,0,boo,29,going,15,brother,11,right,11,woo,10
I Heard It Through the Grapevine,Marvin Gaye,1968,r&b,113,343,3,0,0,0,0,0,heard,13,grapevine,13,yeah,12,much,9,would,9
(I Can't Get No) Satisfaction,The Rolling Stones,1965,rock,78,304,0,0,0,0,0,0,get,20,try,12,satisfaction,9,hey,9,cause,5
Billie Jean,Michael Jackson,1982,r&b,146,634,10,0,3,0,0,0,hee,22,billie,13,jean,13,oh,13,lover,9
Heartbreak Hotel,Elvis Presley,1956,rock,83,241,0,0,0,0,0,0,lonely,18,well,10,baby,7,could,5,get,4
Born to Run,Bruce Springsteen,1975,rock,192,355,3,0,0,0,0,0,baby,7,run,6,oh,4,tramps,4,like,4
My Generation,The Who,1965,rock,56,309,0,0,0,0,0,0,generation,43,talkin,26,bout,26,g,6,baby,5
Love Will Tear Us Apart,Joy Division,1980,rock,86,157,16,0,0,0,0,0,love,16,tear,8,apart,8,us,6,routine,1
God Only Knows,The Beach Boys,1966,rock,56,315,1,21,0,0,0,0,god,21,knows,21,without,16,bow,11,buh,10
(Sittin' On) The Dock of the Bay,Otis Redding,1968,r&b,89,202,0,0,0,0,0,0,sittin,7,dock,7,bay,7,roll,5,watching,4
Hey Ya!,OutKast,2003,hip hop,146,520,2,1,1,4,0,0,oh,30,hey,28,uh,23,shake,18,right,17
Anarchy in the U.K.,Sex Pistols,1976,rock,78,171,0,0,0,0,0,0,wan,7,anarchy,7,use,4,know,3,get,3
Paper Planes,M.I.A.,2007,pop,114,432,0,0,0,0,0,0,wan,12,money,12,like,9,get,6,making,4
London Calling,The Clash,1979,rock,129,283,0,0,0,0,0,0,london,14,calling,11,ice,3,age,3,coming,3
Sympathy for the Devil,The Rolling Stones,1968,rock,167,472,0,1,0,0,0,1,hoo,28,yeah,14,ooo,14,ah,8,meet,6
Strawberry Fields Forever,The Beatles,1967,rock,74,212,0,0,0,0,0,0,strawberry,10,fields,10,nothing,8,forever,6,think,5
Tutti Frutti,Little Richard,1955,rock,52,276,3,0,0,0,2,0,frutti,25,oh,25,rooty,25,b,11,girl,7
Stairway to Heaven,Led Zeppelin,1971,rock,163,367,0,0,0,0,1,0,ooh,6,makes,5,wonder,5,stairway,4,know,4
The Message,Grandmaster Flash and The Furious Five,1982,hip hop,420,1241,0,3,2,2,0,4,huh,24,like,20,sometimes,14,keep,14,jungle,13
What'd I Say,Ray Charles,1959,blues,83,536,1,0,0,0,0,0,alright,31,baby,22,feel,22,hey,21,make,17
Imagine,John Lennon,1971,rock,70,143,0,0,0,0,0,1,imagine,6,us,4,people,3,world,3,living,2
A Change Is Gonna Come,Sam Cooke,1964,r&b,82,194,0,0,0,0,0,0,long,9,oh,5,know,5,time,4,comin,4
"Heroes",David Bowie,1977,rock,78,279,0,0,0,0,0,0,day,10,oh,10,nothing,9,heroes,9,could,6
When Doves Cry,Prince,1984,r&b,103,396,0,0,0,0,0,0,yeah,24,cry,20,doves,15,maybe,12,like,11
Superstition,Stevie Wonder,1972,r&b,78,171,0,0,0,0,0,2,superstitious,5,things,5,way,4,believe,3,understand,3
Common People,Pulp,1995,rock,194,616,0,0,2,1,0,0,common,23,people,23,like,17,wan,15,never,14
Gimme Shelter,The Rolling Stones,1969,rock,61,249,1,0,0,0,0,0,away,28,shot,19,kiss,7,ooh,6,yeah,6
Strange Fruit,Billie Holiday,1939,jazz,58,94,0,0,0,0,0,0,strange,3,fruit,3,southern,2,trees,2,blood,2
You Really Got Me,The Kinks,1964,rock,39,247,0,0,0,0,0,1,got,29,really,19,yeah,7,sleep,6,night,6
Crazy in Love,Beyoncé,2003,pop,216,893,21,0,0,0,0,0,oh,89,got,41,crazy,34,looking,33,right,26
Seven Nation Army,The White Stripes,2003,rock,109,204,0,0,0,0,0,1,gon,5,back,5,comin,4,bleedin,3,right,2
Losing My Religion,R.E.M.,1991,rock,94,298,0,0,0,0,0,0,thought,9,said,7,dream,7,heard,6,oh,5
God Save the Queen,Sex Pistols,1977,rock,74,207,2,11,0,0,0,0,future,19,god,11,save,8,queen,8,mean,3
Bohemian Rhapsody,Queen,1975,rock,162,393,2,0,0,0,0,0,go,15,let,12,really,5,ooh,5,never,5
Blue Monday,New Order,1983,rock,92,194,0,0,0,0,0,0,feel,7,tell,6,thought,5,grows,5,cold,5
Purple Haze,Jimi Hendrix,1967,rock,72,137,0,0,0,0,0,0,purple,5,haze,4,help,4,know,3,yeah,2
Louie Louie,The Kingsmen,1963,rock,82,206,1,0,0,0,0,1,louie,16,yeah,15,oh,9,got,9,go,9
I Want You Back,The Jackson 5,1969,r&b,112,387,5,0,0,0,0,0,buh,20,baby,16,back,13,let,12,oh,11
Crazy,Gnarls Barkley,2006,hip hop,101,216,0,0,0,0,0,0,crazy,9,think,6,remember,4,like,4,make,3
You've Lost That Lovin' Feelin',The Righteous Brothers,1964,rock,100,285,8,0,0,0,0,0,lovin,12,baby,11,feelin,11,gone,11,oh,8
Hey Jude,The Beatles,1968,rock,96,560,0,0,0,1,0,2,jude,43,hey,27,yeah,18,make,12,better,12
Waterloo Sunset,The Kinks,1967,rock,81,176,0,0,0,0,0,0,waterloo,8,sunset,6,chilly,4,night,3,feel,3
Take Me Out,Franz Ferdinand,2004,rock,57,269,0,0,0,0,0,0,know,16,say,11,leaving,9,move,5,could,5
Get Ur Freak On,Missy Elliott,2001,hip hop,136,566,0,0,0,0,0,5,get,67,go,48,freak,42,yes,20,hit,6
That'll Be the Day,Buddy Holly & The Crickets,1957,rock,320,671,3,0,1,0,0,1,like,16,ever,3,head,2,taking,2,emcee,2
Light My Fire,The Doors,1967,rock,53,213,2,0,0,0,0,0,fire,15,try,9,baby,8,light,8,set,7
I Feel Love,Donna Summer,1977,pop,22,249,35,0,0,0,0,0,feel,36,love,36,ooh,12,get,10,good,5
There Is a Light That Never Goes Out,The Smiths,1986,rock,98,338,0,1,0,0,0,1,never,12,light,8,goes,8,oh,7,home,5
Space Oddity,David Bowie,1969,rock,117,230,2,1,0,0,0,0,major,9,tom,9,ground,6,control,6,hear,3
Stand by Me,Ben E. King,1961,rock,58,166,0,0,0,0,0,0,stand,24,oh,8,darlin,6,afraid,2,long,2
Mr. Tambourine Man,The Byrds,1965,rock,74,154,0,0,1,0,0,0,hey,4,mr,4,tambourine,4,play,4,song,4
Bitter Sweet Symphony,The Verve,1997,rock,93,495,0,0,0,0,0,0,change,22,mould,14,ever,13,violence,8,melody,7
(We're Gonna) Rock Around the Clock,Bill Haley and His Comets,1954,rock,76,250,0,0,0,1,33,0,rock,33,gon,21,clock,19,around,11,tonight,10
Layla,Derek and The Dominos,1970,rock,83,189,2,0,0,0,0,0,layla,12,darling,8,please,5,got,4,knees,4
River Deep - Mountain High,Ike and Tina Turner,1966,r&b,92,273,17,0,0,0,0,0,baby,22,love,13,oh,9,river,6,gets,5
Unfinished Sympathy,Massive Attack,1991,pop,62,218,1,0,0,0,0,0,know,10,without,10,mind,5,body,5,like,5
Loser,Beck,1993,pop,188,436,0,0,0,0,0,0,baby,10,kill,9,loser,9,perdedor,8,got,3
Fight the Power,Public Enemy,1989,hip hop,210,615,1,0,0,0,0,3,fight,37,power,29,say,19,got,16,lem,11
Once in a Lifetime,Talking Heads,1980,rock,100,562,0,1,0,0,2,0,water,30,ever,22,go,17,letting,16,days,16
Paranoid Android,Radiohead,1997,rock,96,227,2,2,0,0,0,0,rain,9,height,8,great,6,may,4,paranoid,4
Whole Lotta Love,Led Zeppelin,1969,rock,59,233,20,0,0,0,0,0,love,20,wan,12,whole,12,lotta,12,oh,11
Alright ,Kendrick Lamar,2015,hip hop,269,745,1,2,0,0,0,5,alright,28,gon,27,nigga,19,like,6,hear,6
House of the Rising Sun,The Animals,1964,rock,82,160,0,2,0,0,0,0,new,4,rising,3,sun,3,orleans,3,call,2
Walk on the Wild Side,Lou Reed,1972,rock,108,425,0,0,0,0,0,0,doo,162,hey,10,walk,10,wild,10,side,10
Hotel California,Eagles,1976,rock,187,358,6,0,3,1,0,1,lovely,6,place,5,california,4,night,3,time,3
99 Problems,Jay-Z,2003,hip hop,290,781,2,0,0,0,0,19,problems,17,got,12,99,12,bitch,12,havin,8
Dancing on My Own,Robyn,2010,pop,90,306,1,0,10,0,0,0,keep,9,dancing,9,oh,8,see,5,corner,4
Formation,Beyoncé,2016,pop,191,729,0,0,0,0,4,8,slay,49,okay,42,cause,13,get,11,go,8
Let's Stay Together,Al Green,1971,r&b,83,191,2,0,0,0,0,0,let,8,whether,7,times,6,together,5,stay,4
Jumpin' Jack Flash,The Rolling Stones,1968,rock,67,216,0,0,0,0,0,0,gas,18,jumpin,9,jack,9,flash,9,right,8
All My Friends,LCD Soundsystem,2007,rock,190,470,0,0,0,0,0,0,friends,9,tonight,8,five,5,see,5,could,5
California Dreamin',The Mamas and the Papas,1965,rock,64,230,0,0,0,0,0,0,winter,9,day,8,california,8,dreamin,8,leaves,4
Blitzkrieg Bop,Ramones,1976,rock,52,227,0,0,0,0,0,0,go,12,hey,10,let,10,back,8,blitzkrieg,6
Dancing in the Street,Martha and The Vandellas,1964,r&b,95,319,0,0,27,0,0,0,dancing,27,street,24,sweet,10,music,9,everywhere,6
Hound Dog,Elvis Presley,1956,rock,36,258,0,0,0,0,0,0,well,10,ahh,8,nothin,6,hound,6,cryin,6
Oblivion,Grimes,2012,pop,84,256,0,0,0,0,0,0,dark,14,see,13,night,13,look,4,someone,3
I Want to Hold Your Hand,The Beatles,1963,rock,43,198,2,0,0,0,0,0,hold,13,hand,13,wan,10,something,6,hide,6
All Along the Watchtower,Jimi Hendrix,1968,rock,109,154,0,0,0,0,0,0,hey,4,along,3,watchtower,3,thief,2,get,2
Nothing Compares 2 U,Sinéad O'Connor,1990,pop,109,218,2,0,0,0,0,0,nothing,13,compares,10,away,4,since,3,took,2
How Soon Is Now?,The Smiths,1984,rock,80,211,4,0,0,0,0,0,go,6,like,5,heir,4,say,4,shut,3
Sweet Child O' Mine,Guns N' Roses,1987,rock,96,309,3,0,0,0,0,1,oh,23,go,19,woah,9,sweet,9,child,7
For What It's Worth,Buffalo Springfield,1966,rock,102,226,0,0,0,0,0,0,ooh,12,everybody,8,sound,7,look,7,going,7
The Weight,The Band,1968,rock,144,405,0,0,0,0,0,0,load,25,fanny,11,put,10,right,10,said,7
Runaway,Kanye West,2010,hip hop,194,758,0,0,0,0,0,5,look,37,toast,15,run,15,away,15,let,13
Ghost Town,The Specials,1981,rock,65,142,0,0,1,0,0,0,town,14,like,9,ghost,9,coming,8,place,2
Royals,Lorde,2013,pop,134,427,4,0,0,0,0,0,rule,12,royals,6,kind,6,let,6,ruler,6
Get Lucky,Daft Punk,2013,hip hop,74,856,0,0,0,0,0,0,night,92,get,73,lucky,51,sun,10,good,10
Suspicious Minds,Elvis Presley,1969,rock,85,340,9,0,0,0,0,0,love,9,caught,8,trap,8,walk,8,much,8
Life on Mars?,David Bowie,1971,rock,131,274,0,1,2,0,0,0,oh,4,look,4,show,4,go,3,film,2
Reach Out I'll Be There,Four Tops,1966,r&b,102,327,7,0,0,0,0,0,reach,12,love,7,feel,3,around,3,darlin,3
That's All Right,Elvis Presley,1954,rock,51,159,0,0,0,0,0,0,right,14,dee,12,mama,7,anyway,5,well,4
Get Up (I Feel Like Being a) Sex Machine,James Brown,1970,r&b,98,646,0,0,0,0,0,0,get,85,like,18,right,16,machine,11,stay,11
Wonderwall,Oasis,1995,rock,86,309,0,0,0,0,0,0,gon,9,saves,9,maybe,6,said,5,way,4
Heroin,The Velvet Underground,1967,rock,149,398,0,3,0,0,0,0,know,8,guess,8,cause,3,like,3,big,3
Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,1957,rock,73,245,0,0,0,0,0,0,shake,20,baby,18,whole,7,shakin,7,got,7
Thunder Road,Bruce Springsteen,1975,rock,223,452,0,0,1,1,0,0,oh,8,road,6,make,5,thunder,5,hey,4
One,U2,1991,rock,113,287,8,0,0,0,0,0,love,8,higher,6,got,5,life,4,get,4
I'm Waiting for the Man,The Velvet Underground,1967,rock,126,223,0,0,0,0,0,0,waiting,6,oh,4,got,4,feeling,3,hey,2
The Tracks of My Tears,Smokey Robinson and The Miracles,1965,r&b,87,243,0,0,0,0,0,0,look,8,need,8,see,5,smile,5,good,4
Yesterday,The Beatles,1965,rock,68,143,2,0,0,0,0,0,yesterday,9,mmm,5,oh,4,away,3,believe,3
Dancing Queen,ABBA,1976,pop,85,221,0,0,13,0,1,0,dancing,8,queen,8,dance,5,digging,4,jive,3
Summertime Blues,Eddie Cochran,1958,rock,92,194,0,0,0,0,0,0,gon,7,work,3,sometimes,3,wonder,3,cure,3
This Charming Man,The Smiths,1983,rock,74,172,0,0,0,0,0,0,nana,6,knows,5,much,5,charming,4,said,4
Blue Suede Shoes,Carl Perkins,1956,rock,64,230,0,0,0,0,1,0,blue,21,shoes,14,suede,13,anything,7,lay,7
Good Times,Chic,1979,rock,107,389,0,0,0,0,0,2,good,35,times,35,leave,6,cares,6,behind,6
Pyramids,Frank Ocean,2012,hip hop,207,583,3,1,0,0,0,1,pyramid,27,working,27,oh,16,cleopatra,15,tonight,14
My Girl,The Temptations,1964,r&b,81,220,0,0,0,0,0,0,girl,22,got,7,talkin,7,bout,7,ooh,7
Paint It Black,The Rolling Stones,1966,rock,111,244,2,0,0,0,0,0,black,12,see,11,painted,9,turn,6,red,3
Video Games,Lana Del Rey,2011,pop,120,415,3,0,0,0,0,0,tell,6,say,5,video,4,like,4,everything,3
Rehab,Amy Winehouse,2006,r&b,108,352,0,0,0,0,0,2,go,16,know,13,tried,7,make,7,rehab,7
Rapper's Delight,The Sugarhill Gang,1979,hip hop,945,2783,3,0,2,2,11,4,would,17,breaks,17,break,17,brown,17,used,16
The Sound of Silence,Simon and Garfunkel,1965,folk,125,222,0,1,0,0,0,0,silence,6,people,5,sound,4,words,4,like,3
Fortunate Son,Creedence Clearwater Revival,1969,rock,76,234,0,0,0,0,0,0,lord,5,fortunate,5,ooh,4,folks,3,born,2
Papa's Got a Brand New Bag,James Brown,1965,r&b,104,315,0,0,0,0,0,0,figaro,19,citta,10,bravo,8,fortuna,6,papa,6
Bridge Over Troubled Water,Simon and Garfunkel,1970,folk,81,172,0,0,0,0,0,0,like,7,bridge,6,troubled,6,water,6,lay,4
No Woman No Cry,Bob Marley and The Wailers,1974,no genre,97,282,0,0,0,0,0,0,woman,15,cry,13,everything,8,going,8,alright,8
Proud Mary,Creedence Clearwater Revival,1969,rock,80,187,0,0,0,0,0,0,rollin,24,river,11,keep,6,big,3,wheel,3
Every Breath You Take,The Police,1983,rock,73,366,0,0,0,0,0,0,every,52,watching,14,move,8,make,8,break,7
Maybellene,Chuck Berry,1955,rock,99,282,0,0,0,0,0,0,maybellene,12,true,10,oh,6,done,6,started,6
A Whiter Shade of Pale,Procol Harum,1967,rock,143,301,1,0,0,0,0,1,turned,5,later,4,miller,4,told,4,first,4
Midnight City,M83,2011,pop,37,145,0,0,0,0,0,0,waiting,18,car,11,ride,8,dark,8,city,3
Losing My Edge,LCD Soundsystem,2002,rock,292,742,0,0,0,0,1,0,know,18,really,17,losing,14,edge,14,every,8
I'm So Lonesome I Could Cry,Hank Williams,1949,country,71,105,0,0,0,0,0,0,lonesome,4,could,3,cry,3,like,2,hear,1
Eight Miles High,The Byrds,1966,rock,65,76,0,0,0,0,0,0,known,2,find,1,stranger,1,signs,1,street,1
Born Slippy,Underworld,1995,edm,125,374,0,0,0,0,0,0,boy,41,lager,19,mega,15,blonde,6,shouting,6
Great Balls of Fire,Jerry Lee Lewis,1957,rock,82,207,7,0,0,0,0,0,baby,6,love,5,goodness,4,gracious,4,great,4
Maps,Yeah Yeah Yeahs,2003,rock,37,202,26,0,0,0,0,0,love,26,say,21,like,14,wait,13,oh,7
Umbrella,Rihanna,2007,pop,156,567,1,0,0,0,0,0,eh,45,umbrella,15,rainin,11,uh,8,huh,8
She Loves You,The Beatles,1963,rock,60,240,18,0,0,0,0,0,yeah,29,loves,13,know,11,glad,7,love,5
Tangled Up in Blue,Bob Dylan,1975,folk,287,618,0,0,0,0,0,0,like,7,tangled,7,blue,7,never,4,know,4
Maggie May,Rod Stewart,1971,rock,146,331,4,0,0,0,1,1,maggie,6,oh,4,tried,4,home,4,stole,4
Will You Love Me Tomorrow,The Shirelles,1960,rock,66,144,10,0,0,0,0,0,love,10,tomorrow,5,still,5,tonight,3,night,2
Seasons (Waiting on You),Future Islands,2014,rock,67,211,0,0,0,0,0,0,ooh,9,change,5,cause,5,waiting,5,crave,5
Creep,Radiohead,1992,rock,69,189,0,0,0,0,0,3,special,6,run,5,belong,4,like,3,wish,3
Be-Bop-a-Lula,Gene Vincent,1956,rock,51,247,1,0,0,0,2,0,baby,18,bop,16,lula,16,doll,11,mean,6
Paranoid,Black Sabbath,1970,metal,88,146,1,0,0,0,0,0,think,3,things,3,help,2,mind,2,find,2
Heart of Glass,Blondie,1978,rock,90,264,10,0,0,0,0,3,ah,16,love,10,dum,8,oooh,8,like,6
Kashmir,Led Zeppelin,1975,rock,148,327,0,0,0,0,0,0,oh,18,yeah,17,ooh,10,let,6,fill,3
Walk This Way,Run-D.M.C.,1986,hip hop,137,391,2,0,2,0,0,0,way,19,walk,10,talk,9,like,7,school,7
Like a Prayer,Madonna,1989,pop,87,589,0,1,1,0,0,0,like,46,prayer,27,voice,13,oh,9,dream,9
Marquee Moon,Television,1977,rock,87,209,0,0,0,0,0,0,life,6,listening,4,hearing,4,hive,3,puckered,3
Hotline Bling ,Drake,2015,hip hop,131,458,8,0,1,0,0,0,need,10,call,9,used,8,cell,8,phone,8
Time to Pretend,MGMT,2007,rock,121,254,1,0,0,0,0,1,yeah,14,pretend,8,miss,6,fated,4,models,3
When a Man Loves a Woman,Percy Sledge,1966,r&b,105,204,7,0,0,0,0,0,loves,6,woman,6,baby,3,world,2,bad,2
Brown Sugar,The Rolling Stones,1971,rock,102,222,0,0,0,0,0,0,yeah,12,brown,8,sugar,8,like,8,taste,5
Over the Rainbow,Judy Garland,1939,easy listening,66,109,0,0,0,0,0,0,rainbow,5,somewhere,3,fly,3,like,2,bluebirds,2
Tomorrow Never Knows,The Beatles,1966,rock,52,120,2,0,0,0,0,0,beginning,6,dying,2,shining,2,may,2,love,2
This Land Is Your Land,Woody Guthrie,1945,folk,109,288,0,0,0,0,0,0,land,15,made,8,saw,3,voice,3,california,2
Oh Pretty Woman,Roy Orbison,1964,rock,92,189,1,0,0,0,0,0,pretty,16,woman,15,yeah,4,walking,3,like,3
Jailhouse Rock,Elvis Presley,1957,rock,131,299,0,0,9,0,22,0,rock,23,let,10,everybody,10,jailhouse,10,dancing,9
Empire State of Mind,Jay-Z,2009,hip hop,314,782,1,0,0,0,1,2,new,26,yeah,21,york,20,uh,16,made,8
I Bet You Look Good on the Dancefloor,Arctic Monkeys,2005,rock,103,338,1,0,3,0,0,0,bet,6,look,6,good,6,dancefloor,6,know,6
Like a Virgin,Madonna,1984,pop,95,252,5,0,0,0,0,0,like,9,whoa,9,virgin,8,ooh,7,made,6
Into the Groove,Madonna,1985,pop,109,539,9,0,11,0,0,0,get,17,yeah,17,boy,16,got,14,love,9
Let It Happen,Tame Impala,2015,metal,130,353,0,0,0,0,0,0,ready,8,oh,8,let,6,happen,6,around,4
Cranes in the Sky,Solange,2016,r&b,87,261,1,0,1,0,0,0,away,61,tried,8,like,5,feel,5,thought,4
Song 2,Blur,1997,rock,53,141,0,0,0,0,0,0,woo,10,hoo,10,yeah,6,easy,3,got,2
Purple Rain,Prince,1984,r&b,90,219,1,0,0,0,0,0,purple,23,rain,23,see,6,never,4,wanted,4
Wuthering Heights,Kate Bush,1978,pop,92,302,2,0,0,0,0,0,let,10,heathcliff,8,cathy,8,home,8,cold,7
Born in the U.S.A.,Bruce Springsteen,1984,rock,121,302,1,0,0,1,0,0,born,15,got,3,like,2,go,2,refinery,2
Kids,MGMT,2007,rock,88,226,0,0,0,0,0,0,control,8,need,8,family,8,trees,7,wanted,7
Nuthin' But a 'G' Thang,Dr. Dre,1992,hip hop,285,826,0,0,0,0,4,18,like,31,yeah,14,got,14,know,8,feeling,8
Peggy Sue,Buddy Holly & The Crickets,1957,rock,958,4207,4,4,3,0,2,5,rick,98,neil,83,mike,69,vyvyan,65,oh,36
White Rabbit,Jefferson Airplane,1967,rock,93,141,0,0,0,0,0,0,go,4,alice,3,pill,2,makes,2,small,2
Kiss,Prince,1986,r&b,103,294,1,0,1,3,0,0,got,6,rule,5,world,5,girl,4,time,4
Sunday Bloody Sunday,U2,1983,rock,110,273,0,0,0,0,0,0,sunday,40,bloody,20,long,8,tonight,8,oh,6
Psycho Killer,Talking Heads,1977,rock,94,334,0,0,0,0,0,0,fa,60,run,42,oh,18,psycho,6,killer,6
Tainted Love,Soft Cell,1981,rock,89,249,17,0,0,0,0,0,love,18,tainted,15,oh,8,got,4,run,4
Little Red Corvette,Prince,1982,r&b,141,453,8,0,0,0,0,2,little,17,red,16,corvette,15,right,10,got,9
Family Affair,Sly and the Family Stone,1971,rock,80,194,3,0,0,0,0,0,family,14,affair,13,cause,4,child,2,grows,2
Can't Get You Out of My Head,Kylie Minogue,2001,pop,53,395,3,0,0,0,0,0,get,10,head,10,boy,6,think,6,ever,6
Honky Tonk Women,The Rolling Stones,1969,rock,82,169,0,0,0,0,0,0,gim,12,honky,8,tonk,8,women,4,mind,3
Your Best American Girl,Mitski,2016,pop,87,200,0,0,0,0,0,0,mother,6,american,4,approve,3,raised,3,think,3
Autobahn,Kraftwerk,1974,rock,46,473,0,0,0,0,0,0,fahr,123,autobahn,53,liegt,1,weites,1,tal,1
My Girls,Animal Collective,2009,rock,64,625,0,0,0,0,0,0,father,19,grave,19,like,13,much,9,feel,9
Eleanor Rigby,The Beatles,1966,rock,86,210,0,0,0,0,0,0,lonely,12,people,12,look,7,ah,6,belong,3
Get It On [Bang a Gong (Get It On)],T. Rex,1971,rock,204,693,5,0,1,0,4,0,truck,17,yeah,14,oh,9,baby,8,well,8
There She Goes,The La's,1988,rock,39,131,0,0,0,0,0,0,goes,12,blows,5,contain,4,feelin,4,remains,4
Help!,The Beatles,1965,rock,80,246,0,0,0,0,0,0,help,17,please,6,younger,4,need,3,anybody,3
House of Jealous Lovers,The Rapture,2002,rock,24,70,1,0,0,0,0,0,house,9,jealous,9,lovers,8,shakedown,3,hand,2
Last Nite,The Strokes,2001,rock,78,220,0,0,0,0,0,0,oh,10,understand,8,feel,7,baby,6,night,4
Le Freak,Chic,1978,rock,95,268,0,0,1,0,0,0,freak,27,ah,7,chic,7,like,3,us,2
Won't Get Fooled Again,The Who,1971,rock,130,329,0,0,0,0,0,0,get,8,new,7,smile,4,change,4,like,4
In My Life,The Beatles,1965,rock,68,155,5,0,0,0,0,0,life,5,love,4,know,4,though,3,lose,3
Hurt,Johnny Cash,2002,country,88,167,0,0,0,0,0,0,away,4,hurt,3,could,3,still,2,become,2
Ms. Jackson,OutKast,2000,hip hop,258,728,3,0,0,1,0,5,ms,12,jackson,12,never,12,daughter,11,times,11
Walk On By,Dionne Warwick,1964,easy listening,64,243,0,0,0,0,0,0,walk,18,stop,12,tears,5,cry,4,see,4
Folsom Prison Blues,Johnny Cash,1955,country,113,192,0,0,0,0,0,0,train,3,know,3,prison,3,hear,2,folsom,2
Sign 'O' the Times,Prince,1987,r&b,157,263,1,0,0,0,0,0,time,13,oh,4,baby,3,fly,3,truly,3
Bad Guy,Billie Eilish,2019,pop,125,299,0,0,0,0,0,0,guy,16,bad,13,like,6,type,6,make,4
Teenage Kicks,The Undertones,1978,rock,58,206,0,0,0,0,0,0,wan,10,hold,10,right,8,teenage,7,tight,5
This Is America,Childish Gambino,2018,hip hop,136,660,0,0,2,0,0,0,yeah,62,black,30,get,25,ooh,18,money,17
Blowin' in the Wind,Bob Dylan,1963,folk,79,192,0,0,0,0,0,0,many,10,yes,7,answer,6,blowin,6,must,5
I Walk the Line,Johnny Cash,1956,country,82,194,1,0,0,0,0,0,keep,8,walk,5,line,4,day,3,close,2
Brown Eyed Girl,Van Morrison,1967,folk,109,273,1,0,0,0,0,2,brown,6,eyed,6,girl,6,bit,6,sha,5
Blueberry Hill,Fats Domino,1956,blues,49,109,2,0,0,0,0,0,blueberry,5,hill,4,thrill,3,still,3,found,2
Planet Rock,Afrika Bambaataa & The Soulsonic Force,1982,hip hop,866,1317,18,1,3,1,3,4,love,15,jackson,8,michael,5,never,5,life,5
Crazy,Patsy Cline,1961,rock,45,105,5,0,0,0,0,0,crazy,12,love,3,feeling,2,worry,2,thinking,2
Bo Diddley,Bo Diddley,1955,blues,67,113,0,0,0,0,0,0,diddley,5,baby,4,ring,3,pretty,3,diamond,2
Subterranean Homesick Blues,Bob Dylan,1965,folk,208,348,0,1,1,0,0,0,get,10,look,4,kid,4,better,4,keep,3
Mr. Brightside,The Killers,2004,rock,103,324,0,0,0,0,0,0,kiss,6,got,4,calling,4,taking,4,sick,4
